Gene_A,Gene_B
FAM168B,PRR35
FAM168B,SNRPB
FAM168B,HOXB9
FAM168B,AGXT
FAM168B,FGFR3
FAM168B,OTX1
FAM168B,CSTF2
FAM168B,YPEL3
FAM168B,PITX1
FAM168B,TIAL1
FAM168B,ROR2
FAM168B,ARID5A
FAM168B,TLE5
FAM168B,FOXI1
FAM168B,GPS2
FAM168B,VEZF1
FAM168B,NEDD9
FAM168B,LASP1
FAM168B,ZIC1
FAM168B,UBAP2
FAM168B,WDR25
FAM168B,KRTAP26-1
FAM168B,MED25
FAM168B,SAMD7
FAM168B,POGZ
FAM168B,PPP1R32
FAM168B,MSRB3
FAM168B,MYOZ3
FAM168B,FAM222B
FAM168B,FAM168A
FAM168B,TENT5B
FAM168B,POM121
FAM168B,ZC3H10
FAM168B,SPAG8
FAM168B,RHOXF2
FAM168B,RAMAC
FAM168B,NUP58
FAM168B,GLIS2
FAM168B,CSTF2T
FAM168B,EGLN3
FAM168B,PATZ1
FAM168B,TCF7L2
FAM168B,HSF4
FAM168B,CAMK2A
ILVBL,TOM1
ILVBL,XRCC6
ILVBL,ATXN1
ILVBL,CEP76
ERICH2,SDCBP
ERICH2,MACROH2A1
ERICH2,HTT
ERICH2,IWS1
ERICH2,PSORS1C2
C20ORF202,HNRNPCL1
C20ORF202,SNAPIN
C20ORF202,MAPRE1
C20ORF202,CCDC102B
C20ORF202,SGF29
C20ORF202,ABI2
C20ORF202,MAPRE3
C20ORF202,WASHC3
SYCE3,KLF11
SYCE3,WFS1
SYCE3,HTT
SYCE3,INPP1
SYCE3,PRPS1
SYCE3,PKN1
SYCE3,KRT79
SYCE3,HAUS1
SYCE3,SGF29
SYCE3,NUP58
SYCE3,BLOC1S6
ELOVL7,ELOVL7
ELOVL7,LRCH4
ELOVL7,SERF1A|SERF1B
ELOVL7,VAMP1
ELOVL7,EMP3
ELOVL7,SYNJ2BP
ELOVL7,RTP2
ELOVL7,SLC41A1
ELOVL7,UBE2J2
ELOVL7,DTNBP1
ELOVL7,TMEM14C
ELOVL7,ADGRE2
MT1DP,MEOX2
MT1DP,KRTAP10-5
MT1DP,KRTAP10-9
C20ORF12,GFI1B
GAGE12B|GAGE12C|GAGE12D|GAGE12E,FLJ13057
GAGE12B|GAGE12C|GAGE12D|GAGE12E,GMCL2
GAGE12B|GAGE12C|GAGE12D|GAGE12E,GMCL1
NUTM2F,VPS37C
NUTM2F,HGS
NUTM2F,NCK2
NUTM2F,ZMYND10
NUTM2F,ATXN1L
NUTM2F,RAD23A
NUTM2F,GRB2
NUTM2F,FADD
NUTM2F,NFYC
NUTM2F,SH3RF1
NUTM2F,MORN4
NUTM2F,ANKS1A
NUTM2F,OSTF1
NUTM2F,LENG8
NUTM2F,PRPF18
NUTM2F,SH3GL1
NUTM2F,C1ORF109
NUTM2F,ZNF148
SSC5D,SDCBP
SSC5D,NUP62
SSC5D,TRAF1
SSC5D,MED21
SSC5D,PIN1
SSC5D,TCEA2
SSC5D,BLOC1S2
SSC5D,KRT27
SSC5D,NECAB2
SSC5D,SKA1
SSC5D,HAUS1
SSC5D,DTNBP1
SSC5D,CEP170P1
SSC5D,MED29
SSC5D,MED11
SSC5D,EXOC7
SSC5D,SEC23IP
FSD2,HGS
FSD2,OIP5
FSD2,DCX
FSD2,EXOC3
FSD2,DTNB
FSD2,RNF8
FSD2,SNAPIN
FSD2,FARS2
FSD2,LATS1
FSD2,FAM107A
FSD2,UBTFL1
FSD2,ESD
FSD2,ZNF35
FSD2,ZNF20
FSD2,PSMB4
FSD2,AQP1
FSD2,CORO1A
FSD2,ZNF76
FSD2,PBX3
FSD2,ARFIP2
FSD2,HDAC4
FSD2,CTAG1A|CTAG1B
FSD2,BEX3
FSD2,FMR1
FSD2,CDK18
FSD2,TLE5
FSD2,VEZF1
FSD2,MYBPC2
FSD2,PPP2R5D
FSD2,ZNF124
FSD2,ZSCAN26
FSD2,KLHL40
FSD2,CWF19L2
FSD2,FAM161A
FSD2,TSGA10IP
FSD2,ZC2HC1C
FSD2,ZNF648
FSD2,ATXN7L2
FSD2,ATF7IP2
FSD2,TTC23
FSD2,ZNF774
FSD2,PPP1R18
FSD2,CDC73
FSD2,ATG14
FSD2,KANSL1
FSD2,ZNF572
FSD2,ZNF410
FSD2,FAM90A1
FSD2,MGC50722
FSD2,IFT20
FSD2,CCDC146
